imageSetLvl,imageSetName,refSetNumber,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_3.started,text_3.stopped,image.started,image.stopped,Trial No.,Comp Side,Ref Num,Level List,Bounce Num,Staircase,Scene No,comp>ref?,leftImagePortrait.started,leftImagePortrait.stopped,ISI.started,ISI.stopped,rightImagePortrait.started,rightImagePortrait.stopped,text_2.started,text_2.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI_2.started,ISI_2.stopped,text_4.started,text_4.stopped,participant,date,expName,psychopyVersion,frameRate,
decanterStudio,decanterStudio,7,0,0,0,0,20,0,20,0,,,,,,,5,-1,7,6.125,6,1,1,1,120.05004480015486,122.55854230001569,0.013381179887801409,0.5133811798878014,122.74577869987115,None,None,None,left,4.309767399914563,119.55782879982144,None,3.0080678798258305,3.2080678798258306,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,21,0,21,0,,,,,,,7,1,7,6.458333333333333,6,1,2,1,124.55227020010352,127.05515389982611,0.0075749889947474,0.5075749889947474,127.25634009996429,None,None,None,right,4.146505400072783,124.05917079979554,None,3.009684889111668,3.209684889111668,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,22,0,22,0,,,,,,,8,1,7,6.208333333333333,6,1,2,0,128.88784210011363,131.38507500011474,0.0031728893518447876,0.5031728893518448,131.58688820013776,None,None,None,left,3.727394300047308,128.39388100011274,None,3.0003080894239247,3.200308089423925,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,23,0,23,0,,,,,,,6,1,7,5.90625,6,1,1,0,132.7975504999049,135.29837140021846,0.0055408901534974575,0.5055408901534975,135.4989724000916,None,None,None,left,3.946606199722737,132.3048284999095,None,3.0049982899799943,3.2049982899799945,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,24,0,24,0,,,,,,,7,1,7,6.489583333333333,6,1,1,0,136.9347306001,139.4448794000782,0.00027728965505957603,0.5002772896550596,139.64555179979652,None,None,None,left,4.091794000007212,136.44083179999143,None,3.0107792895287275,3.2107792895287277,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,25,0,25,0,,,,,,,4,-1,7,16.741666666666667,17,0,2,1,141.2064829999581,143.70810130005702,0.005793789867311716,0.5057937898673117,143.91015180014074,None,None,None,left,3.949304400011897,140.71426159981638,None,3.0057373899035156,3.2057373899035158,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,26,0,26,0,,,,,,,8,-1,7,7.072916666666666,7,1,1,0,145.3664290001616,147.87151720002294,0.009771679528057575,0.5097716795280576,148.05844150017947,None,None,None,right,3.9191423999145627,144.87422350002453,None,3.0004496797919273,3.2004496797919275,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,27,0,27,0,,,,,,,8,1,7,13.115277777777775,13,0,1,1,149.47331300005317,151.98483419977129,0.00054568937048316,0.5005456893704832,152.17377830017358,None,None,None,right,5.5442303000018,148.97989240009338,None,2.9993660897016525,3.1993660897016527,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,28,0,28,0,,,,,,,9,-1,7,12.590277777777775,13,0,1,1,155.2225541002117,157.73012220021337,0.012114979792386293,0.5121149797923863,157.91675500012934,None,None,None,left,4.128006599843502,154.73079260019585,None,3.005519979633391,3.205519979633391,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
decanterStudio,decanterStudio,7,0,0,0,0,29,0,29,0,,,,,,,9,1,7,6.7333333333333325,7,1,2,0,159.53607700020075,162.04295800020918,0.01240718923509121,0.5124071892350912,162.23075939994305,None,None,None,left,3.8617186998017132,159.04274840001017,None,3.00674208952114,3.20674208952114,,,,2021_May_18_1418,InterleavedStaircase,2020.2.10,59.79159046023103,
